尽
宴
港
喫
練
濁
久
決
引
刺
將
香
職
凸
畿
祈
逮
請
吹
烈
類
昆
籍
宿
幽
様
派
倫
曽
臓
父
楼
参
羽
頂
巻
憎
褒
急
諸
机
梅
遊
息
条
誘
聖
旗
菓
唇
各
定
梗
向
癖
縁
窃
嘆
像
貯
延
肌
産
少
充
片
汁
胎
城
半
湾
庁
咽
郷
筋
滴
柄
祝
関
祥
振
乏
肥
忘
磁
散
塔
塾
包
窒
祝
襲
襟
符
樞
懲
扱
豊
究
斬
東
肩
耳
痴
棺
柳
虜
渇
擊
染
溺
羅
壤
怒
假
附
絹
協
痢
逃
鑄
股
寧
喉
就
徐
奴
代
泉
帆
核
除
棟
噴
認
夫
救
價
仲
辛
工
誕
告
伝
替
紀
浪
即
弓
号
亞
堅
板
庸
部
雷
斎
炎
司
目
匹
螢
鐘
販
斑
閣
拔
樹
窯
聽
傑
呼
州
招
缶
暁
壱
齒
碑
嗣
数
哺
揺
營
寬
帰
抽
展
脚
斜
媛
飾
医
唄
料
需
藩
弔
貿
曾
妨
瓶
拘
権
萎
虜
稽
論
欲
插
疫
師
朗
綠
限
疾
繪
狩
𠮟
壞
憎
構
頓
膚
纖
燈
栃
銅
版
垣
虐
抗
備
處
冠
接
六
殼
閑
親
隷
奏
貼
慨
藥
落
賠
曜
闇
戲
幅
考
刀
徳
焼
恥
塡
茎
掲
徴
小
黨
簡
隠
訳
株
軸
崎
球
倣
火
枝
覺
袖
紳
印
釜
哲
戯
蔽
悔
福
瞬
滋
