櫃	柜
櫈	凳
櫓	橹
櫚	榈
櫛	栉
櫝	椟
櫞	橼
櫟	栎
櫥	橱
櫧	槠
櫨	栌
櫪	枥
櫫	橥
櫬	榇
櫳	栊
櫸	榉
櫺	棂
櫻	樱
欄	栏
權	权
欏	椤
欑	攒
欒	栾
欖	榄
欞	棂
欬	咳
欵	款
欽	钦
歎	叹
歐	欧
歗	啸
歛	敛
歟	欤
歡	欢
歲	岁
歷	历
歸	归
歿	殁
殀	夭
殘	残
殞	殒
殤	殇
殫	殚
殭	僵
殮	殓
殯	殡
殲	歼
殺	杀
殼	壳
毀	毁
毆	殴
毉	医
毘	毗
毧	绒
毬	球
毿	毵
氂	牦
氈	毡
氊	毡
氌	氇
氣	气
氫	氢
氬	氩
氳	氲
氷	冰
氹	凼
氾	泛
汎	泛
汙	污
汚	污
決	决
沍	冱
沒	没
沖	冲
況	况
泝	溯
洩	泄
洶	汹
浹	浃
涇	泾
涖	莅
涼	凉
淒	凄
淚	泪
淛	浙
淥	渌
淨	净
淩	凌
淪	沦
淵	渊
淶	涞
淺	浅
渙	涣
減	减
渦	涡
測	测
渾	浑
湊	凑
湞	浈
湣	愍
湧	涌
湯	汤
湻	淳
溈	沩
準	准
溝	沟
溫	温
溼	湿
滄	沧
滅	灭
滌	涤
滎	荥
滙	汇
滛	淫
滬	沪
滯	滞
滲	渗
滷	卤
滸	浒
滾	滚
滿	满
漁	渔
漚	沤
漢	汉
漣	涟
漬	渍
漲	涨
漵	溆
漸	渐
漿	浆
潁	颍
潄	漱
潑	泼
潔	洁
潙	沩
潛	潜
潟	舄
潤	润
潯	浔
潰	溃
潷	滗
潿	涠
澀	涩
澁	涩
澂	澄
澆	浇
澇	涝
澗	涧
澠	渑
澤	泽
澩	泶
澮	浍
澱	淀
濁	浊
濃	浓
濕	湿
濘	泞
濛	蒙
濟	济
濤	涛
濫	滥
濬	浚
濰	潍
濱	滨
濶	阔
濺	溅
濼	泺
濾	滤
瀅	滢
瀆	渎
瀉	泻
瀋	渖
瀏	浏
瀕	濒
瀘	泸
瀝	沥
瀟	潇
瀠	潆
瀦	潴
瀧	泷
瀨	濑
瀰	弥
瀲	潋
瀾	澜
灃	沣
灄	滠
灋	法
灑	洒
灕	漓
灘	滩
灝	灏
灣	湾
灤	滦
灧	滟
灩	滟
災	灾
炤	照
為	为
烏	乌
烖	灾
烴	烃
無	无
煆	煅
煇	辉
煉	炼
煑	煮
煒	炜
煖	暖
煗	暖
煙	烟
煢	茕
煥	焕
煩	烦
煬	炀
熒	荧
熗	炝
熱	热
熾	炽
燁	烨
燄	焰
燈	灯
燉	炖
燐	磷
燒	烧
燙	烫
燜	焖
營	营
燦	灿
燬	毁
燭	烛
燴	烩
燻	熏
燼	烬
燾	焘
燿	耀
爍	烁
爐	炉
爗	烨
爛	烂
爭	争
爲	为
爺	爷
爾	尔
牀	床
牆	墙
牋	笺
牎	窗
牐	闸
牓	榜
牕	窗
牘	牍
牠	它
牴	抵
牽	牵
犂	犁
犇	奔
犖	荦
犛	牦
犢	犊
犧	牺
狀	状
狥	徇
狹	狭
狽	狈
猂	悍
猙	狰
猨	猿
猶	犹
猻	狲
獁	犸
獃	呆
獄	狱
獅	狮
獋	嗥
獎	奖
獘	弊
獧	狷
獨	独
獪	狯
獫	猃
獰	狞
獲	获
獵	猎
獷	犷
獸	兽
獺	獭
獻	献
獼	猕
玀	猡
玅	妙
玆	兹
玨	珏
珎	珍
珮	佩
現	现
琍	璃
琯	管
琱	雕
琹	琴
琺	珐
琿	珲
瑉	珉
瑋	玮
瑠	琉
瑣	琐
瑤	瑶
瑩	莹
瑪	玛
瑯	琅
璉	琏
璢	琉
璣	玑
璦	瑷
環	环
璽	玺
璿	璇
瓈	璃
瓊	琼
瓌	瑰
瓏	珑
瓔	璎
瓚	瓒
甌	瓯
甎	砖
甕	瓮
甖	罂
產	产
産	产
甦	苏
畊	耕
畝	亩
畢	毕
畧	略
畫	画
異	异
畱	留
當	当
疇	畴
疉	叠
疊	叠
疎	疏
疘	肛
疿	痱
痐	蛔
痙	痉
痠	酸
痳	淋
痺	痹
痾	疴
瘂	痖
瘉	愈
瘋	疯
瘍	疡
瘓	痪
瘖	喑
瘞	瘗
瘡	疮
瘧	疟
瘺	瘘
瘻	瘘
療	疗
癄	憔
癅	瘤
癆	痨
癇	痫
癉	瘅
癒	愈
癘	疠
癟	瘪
癡	痴
癢	痒
癤	疖
癥	症
癧	疬
癩	癞
癬	癣
癭	瘿
癮	瘾
癰	痈
癱	瘫
癲	癫
發	发
皁	皂
皚	皑
皜	皓
皰	疱
皷	鼓
皸	皲
皺	皱
盃	杯
盇	盍
盌	碗
盜	盗
盞	盏
盡	尽
監	监
盤	盘
盧	卢
盪	荡
眎	视
眡	视
眥	眦
眾	众
睏	困
睜	睁
睞	睐
睠	眷
瞇	眯
瞖	翳
瞘	眍
瞞	瞒
瞼	睑
矁	瞅
矇	蒙
矙	瞰
矚	瞩
矯	矫
矴	碇
砲	炮
硃	朱
硤	硖
硨	砗
硯	砚
硶	碜
碁	棋
碩	硕
碪	砧
碭	砀
碸	砜
確	确
碼	码
磚	砖
磣	碜
磧	碛
磯	矶
磽	硗
礎	础
礙	碍
礦	矿
礪	砺
礫	砾
礬	矾
礮	炮
礱	砻
祐	佑
祑	帙
祕	秘
祿	禄
禍	祸
禎	祯
禦	御
禩	祀
禪	禅
禮	礼
禰	祢
禱	祷
禿	秃
秈	籼
秌	秋
稅	税
稈	秆
稜	棱
稟	禀
稭	秸
種	种
稱	称
稺	稚
穀	谷
穅	糠
穉	稚
穌	稣
積	积
穎	颖
穡	穑
穢	秽
穨	颓
穩	稳
穫	获
穭	稆
穽	阱
窓	窗
窩	窝
窪	洼
窮	穷
窯	窑
窰	窑
窶	窭
窺	窥
竄	窜
竅	窍
竇	窦
竈	灶
竊	窃
竚	伫
竝	并
竢	俟
竪	竖
競	竞
筆	笔
筍	笋
筞	策
筦	管
筧	笕
筩	筒
筯	箸
筴	策
箇	个
箋	笺
箏	筝
箒	帚
箠	棰
節	节
範	范
築	筑
篋	箧
篛	箬
篠	筱
篤	笃
篩	筛
篳	筚
篹	纂
簀	箦
簍	篓
簑	蓑
簒	篡
簞	箪
簡	简
簣	篑
簫	箫
簮	簪
簷	檐
簽	签
簾	帘
籃	篮
籌	筹
籐	藤
籜	箨
籟	籁
籠	笼
籢	奁
籤	签
籥	钥
籩	笾
籪	簖
籬	篱
籮	箩
籲	吁
粃	秕
粇	糠
粦	磷
粧	妆
粬	曲
粰	麸
粵	粤
粺	稗
糉	粽
糝	糁
糞	粪
糢	模
糧	粮
糰	团
糲	粝
糴	籴
糶	粜
糾	纠
紀	纪
紂	纣
約	约
紅	红
紆	纡
紇	纥
紈	纨
紉	纫
紋	纹
納	纳
紐	纽
紓	纾
純	纯
紕	纰
紗	纱
紙	纸
級	级
紛	纷
紜	纭
紡	纺
紥	扎
紮	扎
細	细
紱	绂
紲	绁
紳	绅
紹	绍
紺	绀
紼	绋
紿	绐
絀	绌
終	终
絃	弦
組	组
絆	绊
絎	绗
絏	绁
結	结
絕	绝
絛	绦
絝	绔
絞	绞
絡	络
絢	绚
給	给
絨	绒
統	统
絲	丝
絳	绛
絹	绢
綁	绑
綃	绡
綆	绠
綈	绨
綉	绣
綏	绥
綑	捆
經	经
綜	综
綞	缍
綠	绿
綢	绸
綣	绻
綫	线
綬	绶
維	维
綰	绾
綱	纲
網	网
綳	绷
綴	缀
綵	彩
綸	纶
綹	绺
綺	绮
綻	绽
綽	绰
綾	绫
綿	绵
緄	绲
緇	缁
緊	紧
緋	绯
緍	缗
緐	繁
緒	绪
緔	绱
緗	缃
緘	缄
緙	缂
線	线
緜	绵
緝	缉
緞	缎
締	缔
緡	缗
緣	缘
緤	绁
緥	褓
緦	缌
編	编
緩	缓
緬	缅
緯	纬
緱	缑
緲	缈
練	练
緶	缏
緹	缇
緻	致
縂	总
縈	萦
縉	缙
縊	缢
縋	缒
縐	绉
縑	缣
縚	绦
縛	缚
縝	缜
縞	缟
縟	缛
縣	县
縧	绦
縫	缝
縭	缡
縮	缩
縯	演
縱	纵
縲	缧
縴	纤
縵	缦
縶	絷
縷	缕
縹	缥
總	总
績	绩
繃	绷
繅	缫
繆	缪
繈	襁
繒	缯
織	织
繕	缮
繖	伞
繙	翻
繚	缭
繞	绕
繡	绣
繢	缋
繦	襁
繩	绳
繪	绘
繫	系
繭	茧
繮	缰
繯	缳
繰	缲
繳	缴
繹	绎
繼	继
繽	缤
繾	缱
纈	缬
纊	纩
續	续
纍	累
纏	缠
纓	缨
纖	纤
纘	缵
纜	缆
缽	钵
缾	瓶
罇	樽
罈	坛
罋	瓮
罌	罂
罎	坛
罏	垆
罰	罚
罵	骂
罷	罢
罸	罚
羅	罗
羆	罴
羈	羁
羋	芈
羗	羌
羢	绒
羣	群
羥	羟
羨	羡
義	义
羶	膻
習	习
翫	玩
翶	翱
翹	翘
翺	翱
耑	端
耡	锄
耬	耧
耮	耢
聖	圣
聞	闻
聯	联
聰	聪
聲	声
聳	耸
聵	聩
聶	聂
職	职
聹	聍
聼	听
聽	听
聾	聋
肅	肃
肎	肯
肐	胳
肧	胚
胷	胸
脃	脆
脅	胁
脇	胁
脈	脉
